"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc","args/ewc_lambda"
"ON-5224","2024-08-11 12:32:59","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","2000","BT","0.5971316818774446",,,"0.6497015915119363",,,,"5.0E-4","0.0","default",,,"1.56055039204368E15","620.1548891067505","yes","yes","0.6"
"ON-5223","2024-08-11 12:32:55","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","1000","BT","0.5625814863102999","0.6019562334217506",,,,,,"5.0E-4","0.0","default",,,"8.538607018248E14","310.64162588119507","yes","yes","0.6"
"ON-5209","2024-08-11 12:31:02","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","2000","BT","0.5847457627118644",,,"0.6472148541114059",,,,"5.0E-4","0.0","default",,,"1.46798593578624E15","574.3533527851105","yes","yes","0.6"
"ON-5204","2024-08-10 23:14:32","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","3000","BT","0.6134289439374185",,,,,"0.6823607427055703",,"5.0E-4","0.0","default",,,"3.26480616458496E15","1366.35125041008","yes","yes","0.2"
"ON-5197","2024-08-10 23:13:06","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","1500","BT","0.6010430247718384",,"0.631631299734748",,,,,"5.0E-4","0.0","default",,,"1.92629874505632E15","751.0529267787933","yes","yes","0.2"
"ON-5188","2024-08-10 23:11:48","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","2500","BT","0.5958279009126467",,,,"0.6705901856763926",,,"5.0E-4","0.0","default",,,"1.97398435347696E15","772.6927635669708","yes","yes","0.2"
"ON-5184","2024-08-10 23:11:24","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","1000","BT","0.5625814863102999","0.6019562334217506",,,,,,"5.0E-4","0.0","default",,,"8.538607018248E14","314.73218607902527","yes","yes","0.2"
"ON-5182","2024-08-10 23:10:53","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","1500","BT","0.589960886571056",,"0.6329575596816976",,,,,"5.0E-4","0.0","default",,,"1.4754981407232E15","618.5003471374512","yes","yes","0.2"
"ON-5175","2024-08-10 23:08:46","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","3500","BT","0.6258148631029987",,,,,,"0.6904840848806366","5.0E-4","0.0","default",,,"3.08909215921008E15","1244.0283014774323","yes","yes","0.2"
"ON-5173","2024-08-10 23:08:07","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","1000","BT","0.5912646675358539","0.6158819628647215",,,,,,"5.0E-4","0.0","default",,,"1.0282522366224E15","406.47301197052","yes","yes","0.2"
"ON-5172","2024-08-10 23:07:40","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","3000","BT","0.6003911342894394",,,,,"0.6810344827586207",,"5.0E-4","0.0","default",,,"2.84508562600512E15","1182.8667798042297","yes","yes","0.2"
"ON-5167","2024-08-10 23:05:36","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","2000","BT","0.5938722294654498",,,"0.6495358090185677",,,,"5.0E-4","0.0","default",,,"2.22454190458512E15","894.4149055480957","yes","yes","0.2"
"ON-5166","2024-08-10 23:05:11","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","1500","BT","0.5840938722294654",,"0.629973474801061",,,,,"5.0E-4","0.0","default",,,"1.22580294706032E15","524.3298745155334","yes","yes","0.2"
"ON-5152","2024-08-10 23:01:32","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","1000","BT","0.5821382007822686","0.6085875331564987",,,,,,"5.0E-4","0.0","default",,,"9.0075355548768E14","366.6895682811737","yes","yes","0.2"
"ON-5142","2024-08-10 22:59:22","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","2500","BT","0.5880052151238592",,,,"0.6578249336870027",,,"5.0E-4","0.0","default",,,"1.837916683968E15","700.2629325389862","yes","yes","0.2"
"ON-5122","2024-08-10 22:55:19","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","2000","BT","0.5945241199478487",,,"0.6500331564986738",,,,"5.0E-4","0.0","default",,,"1.68333817389504E15","660.4328286647797","yes","yes","0.2"
"ON-5120","2024-08-10 22:54:40","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","3500","BT","0.5769230769230769",,,,,,"0.6868368700265252","5.0E-4","0.0","default",,,"3.51991159720608E15","1405.6542716026306","yes","yes","0.2"
"ON-5114","2024-08-10 22:53:23","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","3500","BT","0.6238591916558018",,,,,,"0.692473474801061","5.0E-4","0.0","default",,,"3.22470269132688E15","1269.8715841770172","yes","yes","0.2"
"ON-5113","2024-08-10 22:53:17","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","2500","BT","0.5958279009126467",,,,"0.6647877984084881",,,"5.0E-4","0.0","default",,,"1.89558133260768E15","778.4821195602417","yes","yes","0.2"
"ON-5099","2024-08-10 22:49:52","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","3000","BT","0.6036505867014341",,,,,"0.6830238726790451",,"5.0E-4","0.0","default",,,"2.86059918738528E15","1204.6972994804382","yes","yes","0.2"
"ON-5098","2024-08-10 22:49:46","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","2000","BT","0.5873533246414603",,,"0.6462201591511937",,,,"5.0E-4","0.0","default",,,"1.6619241412872E15","701.9468860626221","yes","yes","0.2"
"ON-5080","2024-08-10 12:36:13","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","3000","b1","0.590612777053455",,,,,"0.6384283819628647",,"5.0E-4","0.0","default",,,"4.16326988880528E15","1550.0375418663025","yes","yes","0.2"
"ON-5079","2024-08-10 12:36:08","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","3500","b1","0.5938722294654498",,,,,,"0.6561671087533156","5.0E-4","0.0","default",,,"2.89842097161888E15","1354.6975581645966","yes","yes","0.6"
"ON-5078","2024-08-10 12:36:03","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","2000","b1","0.6173402868318123",,,"0.6490384615384616",,,,"5.0E-4","0.0","default",,,"1.71556972907088E15","804.4309780597687","yes","yes","0.6"
"ON-5077","2024-08-10 12:35:59","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","3500","b1","0.605606258148631",,,,,,"0.6616379310344828","5.0E-4","0.0","default",,,"2.41063909895136E15","1082.8926348686218","yes","yes","0.6"
"ON-5076","2024-08-10 12:35:55","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","1500","b1","0.5749674054758801",,"0.610079575596817",,,,,"5.0E-4","0.0","default",,,"1.03599691276704E15","468.6074287891388","yes","yes","0.6"
"ON-5075","2024-08-10 12:35:50","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","1500","b1","0.6082138200782269",,"0.6213527851458885",,,,,"5.0E-4","0.0","default",,,"1.4930693847312E15","653.1165256500244","yes","yes","0.2"
"ON-5074","2024-08-10 12:35:46","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","2500","b1","0.5886571056062582",,,,"0.6342838196286472",,,"5.0E-4","0.0","default",,,"2.18809223148624E15","841.1105554103851","yes","yes","0.2"
"ON-5073","2024-08-10 12:35:41","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","2500","b1","0.6153846153846154",,,,"0.64157824933687",,,"5.0E-4","0.0","default",,,"2.6587192380888E15","1025.7596821784973","yes","yes","0.2"
"ON-5072","2024-08-10 12:35:36","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","2500","b1","0.6003911342894394",,,,"0.6390915119363395",,,"5.0E-4","0.0","default",,,"2.87548845879216E15","1088.3254082202911","yes","yes","0.6"
"ON-5071","2024-08-10 12:35:31","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","3000","b1","0.5977835723598436",,,,,"0.6511936339522546",,"5.0E-4","0.0","default",,,"2.49561129822144E15","1026.280012845993","yes","yes","0.6"
"ON-5070","2024-08-10 12:35:27","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","2000","b1","0.5873533246414603",,,"0.6230106100795756",,,,"5.0E-4","0.0","default",,,"1.39156446766416E15","500.7718126773834","yes","yes","0.2"
"ON-5069","2024-08-10 12:35:22","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","1500","b1","0.5730117340286832",,"0.6104111405835544",,,,,"5.0E-4","0.0","default",,,"1.03599691276704E15","358.7116084098816","yes","yes","0.2"
"ON-5068","2024-08-10 12:35:18","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","1000","b1","0.5801825293350718","0.590683023872679",,,,,,"5.0E-4","0.0","default",,,"1.18906861813536E15","462.6328866481781","yes","yes","0.6"
"ON-5067","2024-08-10 12:35:14","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","1500","b1","0.6069100391134289",,"0.6190318302387268",,,,,"5.0E-4","0.0","default",,,"1.55737138669536E15","627.8865311145782","yes","yes","0.6"
"ON-5066","2024-08-10 12:35:09","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","1000","b1","0.5586701434159062","0.585709549071618",,,,,,"5.0E-4","0.0","default",,,"6.7636342072992E14","320.05051708221436","yes","yes","0.6"
"ON-5065","2024-08-10 12:35:04","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","3000","b1","0.590612777053455",,,,,"0.6412466843501327",,"5.0E-4","0.0","default",,,"3.3305914163568E15","1604.6131565570831","yes","yes","0.6"
"ON-5064","2024-08-10 12:35:00","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","2500","b1","0.5775749674054759",,,,"0.6354442970822282",,,"5.0E-4","0.0","default",,,"1.93209347844048E15","1027.3263070583344","yes","yes","0.6"
"ON-5063","2024-08-10 12:34:55","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","3000","b1","0.5919165580182529",,,,,"0.6475464190981433",,"5.0E-4","0.0","default",,,"3.38000363952192E15","1599.9385225772858","yes","yes","0.6"
"ON-5062","2024-08-10 12:34:51","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","1500","b1","0.5867014341590613",,"0.6158819628647215",,,,,"5.0E-4","0.0","default",,,"2.2531469694624E15","825.5442891120911","yes","yes","0.2"
"ON-5061","2024-08-10 12:34:46","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","1000","b1","0.5586701434159062","0.585709549071618",,,,,,"5.0E-4","0.0","default",,,"6.7636342072992E14","245.61770105361938","yes","yes","0.2"
"ON-5060","2024-08-10 12:34:42","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","1500","b1","0.5912646675358539",,"0.6165450928381963",,,,,"5.0E-4","0.0","default",,,"1.63568485276704E15","567.2541813850403","yes","yes","0.6"
