Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-4478,04/08/2024 12:47,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",2,1000,1000,CS,0.59452412,0.603945623,,,,,,5.00E-04,0,default,,,9.03E+14,358.4336081,yes,yes
ON-4476,04/08/2024 12:47,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",2,1000,2500,CS,0.606258149,,,,0.651027851,,,5.00E-04,0,default,,,3.10E+15,1111.381355,yes,no
ON-4472,04/08/2024 12:47,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",1,1000,2500,MV,0.589960887,,,,0.659814324,,,5.00E-04,0,default,,,2.30E+15,908.2303369,yes,no
ON-4470,04/08/2024 12:47,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",2,1000,1500,CS,0.601694915,,0.629807692,,,,,5.00E-04,0,default,,,1.79E+15,687.9487627,yes,yes
ON-4467,04/08/2024 12:46,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",1,1000,3000,CS,0.593872229,,,,,0.657327586,,5.00E-04,0,default,,,2.72E+15,987.2456582,yes,no
ON-4466,04/08/2024 12:46,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",2,1000,1000,MV,0.589308996,0.628149867,,,,,,5.00E-04,1,default,,,2.59E+15,1078.490262,yes,no
ON-4465,04/08/2024 12:46,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",0,1000,3000,CS,0.603650587,,,,,0.657990716,,5.00E-04,0,default,,,2.51E+15,968.2140019,yes,no
ON-4462,04/08/2024 12:46,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",0,1000,3500,CS,0.62125163,,,,,,0.669429708,5.00E-04,1,default,,,7.95E+15,2930.990244,yes,no
ON-4457,04/08/2024 12:44,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",2,1000,1500,MV,0.612777053,,0.640749337,,,,,5.00E-04,1,default,,,4.13E+15,1627.389437,yes,no
ON-4456,04/08/2024 12:44,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",0,1000,3000,MV,0.582790091,,,,,0.657659151,,5.00E-04,0,default,,,2.75E+15,1444.931486,yes,yes
ON-4452,04/08/2024 12:43,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",1,1000,3500,MV,0.606258149,,,,,,0.672413793,5.00E-04,0,default,,,3.09E+15,1303.577572,yes,yes
ON-4444,04/08/2024 12:43,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",0,1000,2000,MV,0.58148631,,,0.647712202,,,,5.00E-04,0,default,,,1.96E+15,1006.680416,yes,no
ON-4441,04/08/2024 12:42,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",2,1000,3000,CS,0.608865711,,,,,0.661803714,,5.00E-04,1,default,,,6.36E+15,2469.286683,yes,no
ON-4440,04/08/2024 12:42,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",2,1000,3000,MV,0.611473272,,,,,0.669595491,,5.00E-04,0,default,,,2.86E+15,1124.139071,yes,yes
ON-4436,04/08/2024 12:42,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",1,1000,3500,CS,0.602998696,,,,,,0.662964191,5.00E-04,0,default,,,3.33E+15,1194.333735,yes,no
ON-4435,04/08/2024 12:42,shriram,"[""BATCH_INC_LINEAR""]","[""ewc""]",1,1000,2500,MV,0.617340287,,,,0.663129973,,,5.00E-04,0,default,,,2.84E+15,1161.581885,yes,yes
ON-4423,04/08/2024 12:41,shriram,"[""BATCH_INC_LINEAR""]","[""BP_default_eff""]",2,1000,3000,CS,0.611473272,,,,,0.662301061,,5.00E-04,0,default,,,3.68E+15,1444.631312,yes,no
